Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
"PAULIN KUSWANDARI, S.PD","Gang Abdul Muis No. 859, Denpasar, KI 58781",+62 (084) 491 6250,Zakat Mal,1102978.8638,2023-06-12
"TGK. GABRIELLA JAILANI, S.PT","Gang Rawamangun No. 2, Tarakan, Bali 94962",+62 (048) 088 9992,Zakat Perdagangan,1162442.7408,2023-08-21
NADIA HALIM,"Jl. Yos Sudarso No. 77, Kota Administrasi Jakarta Barat, Papua Barat 72461",(028) 296 3046,Zakat Penghasilan,1035954.9189000002,2023-12-27
"DR. FITRIA PUSPITA, S.GZ","Gg. Ahmad Yani No. 8, Malang, KR 03306",+62 (99) 869 1737,Zakat Perdagangan,461587.20630000014,2023-06-05
"EDWARD HASSANAH, S.KED","Gg. Veteran No. 71, Ternate, BT 74318",+62-069-074-7917,Zakat Emas/Perak,684979.6206000001,2023-07-01
"CAYADI MARPAUNG, S.KOM","Jl. Siliwangi No. 131, Kota Administrasi Jakarta Timur, KR 75222",(0662) 611 8786,Zakat Fitrah,455764.57740000007,2023-08-03
PRANATA LAKSMIWATI,"Gg. Abdul Muis No. 148, Batu, Sulawesi Utara 29766",+62 (0691) 115 4933,Zakat Perdagangan,300442.4797,2024-05-01
MILA AGUSTINA,"Gg. K.H. Wahid Hasyim No. 33, Sabang, KU 63731",+62 (072) 454 3392,Zakat Fitrah,1108387.5638000001,2023-06-08
"USMAN PRADANA, S.PT","Jalan Stasiun Wonokromo No. 77, Gorontalo, SB 31834",+62 (43) 075-4898,Zakat Mal,526730.3635,2024-04-12
RUDI PUDJIASTUTI,"Jalan K.H. Wahid Hasyim No. 06, Pangkalpinang, Sulawesi Barat 72184",+62 (0468) 519 0197,Zakat Perdagangan,994333.7866000001,2024-10-28
"MARYANTO ZULAIKA, S.KOM","Gg. Soekarno Hatta No. 193, Salatiga, Kalimantan Utara 31678",080 113 4058,Zakat Perdagangan,979907.2349,2023-11-22
LUWAR ADRIANSYAH,"Gang Raya Ujungberung No. 7, Tanjungpinang, AC 18117",(063) 618 1212,Zakat Penghasilan,234088.9474,2024-11-15
WARSA PURNAWATI,"Gg. Kutisari Selatan No. 15, Madiun, KS 95584",+62 (53) 068-0369,Zakat Emas/Perak,846779.4654000001,2024-10-03
IR. IRIANA NUGROHO,"Jl. Jamika No. 758, Tanjungpinang, KS 91558",087 735 2514,Zakat Mal,641973.0746000002,2025-03-12
"EDISON HALIMAH, M.AK","Gang Moch. Ramdan No. 7, Sawahlunto, Sumatera Utara 60271",+62-0299-116-3013,Zakat Emas/Perak,928146.4720000001,2024-05-03
BAGAS KUSUMO,"Jalan Ir. H. Djuanda No. 646, Sukabumi, Kalimantan Barat 58981",(0296) 207 6309,Zakat Penghasilan,1029882.3403000003,2025-03-19
"RAHMI DONGORAN, S.T.","Jl. Raya Setiabudhi No. 99, Pangkalpinang, Kalimantan Barat 22707",(0258) 615-5159,Zakat Pertanian,202468.81600000005,2023-05-30
TITIN YOLANDA,"Gg. Kiaracondong No. 36, Lhokseumawe, Papua Barat 46637",(024) 535-4352,Zakat Mal,431118.8013000001,2024-03-02
MAKUTA HIDAYAT,"Gg. Ronggowarsito No. 79, Palembang, Kalimantan Timur 91984",+62-17-086-3193,Zakat Penghasilan,1151999.3760000002,2025-02-19
"KENES SIREGAR, S.KED","Jalan Peta No. 915, Bandar Lampung, Gorontalo 78482",+62 (694) 244-3098,Zakat Perdagangan,205990.55730000001,2024-07-02
CAWISADI ARDIANTO,"Jl. Kapten Muslihat No. 9, Bima, BT 11570",(0788) 754-1272,Zakat Mal,505949.90820000006,2024-08-22
"KAREN SIHOMBING, S.IP","Gg. Suniaraja No. 8, Kota Administrasi Jakarta Timur, Papua 86058",(062) 610 2717,Zakat Fitrah,1043989.8755000001,2024-04-23
"MANAH SAPUTRA, M.M.","Gang Pasir Koja No. 990, Blitar, JK 65265",+62-809-940-8025,Zakat Pertanian,962048.1794000001,2025-05-04
KENZIE SAMOSIR,"Gg. Kapten Muslihat No. 4, Pekalongan, Sumatera Utara 73307",+62 (544) 773 6612,Zakat Emas/Perak,612378.1686,2023-05-15
"DRG. TALIA PRANOWO, S.KED","Jalan Erlangga No. 473, Malang, DI Yogyakarta 74230",+62 (765) 033 2834,Zakat Fitrah,386675.57390000013,2025-03-16
BELLA MELANI,"Gg. Stasiun Wonokromo No. 87, Tomohon, Sumatera Utara 86751",(0973) 381-7747,Zakat Emas/Perak,810064.7863000002,2024-12-03
R.A. ELLIS UTAMA,"Jl. Sentot Alibasa No. 7, Langsa, Bengkulu 67478",+62 (33) 844 9625,Zakat Mal,1187516.0946,2024-02-06
VIRMAN WINARSIH,"Jl. Otto Iskandardinata No. 180, Kota Administrasi Jakarta Pusat, BE 63434",+62-028-169-6180,Zakat Emas/Perak,995156.0421000001,2025-04-28
"IBRAHIM SIMBOLON, M.FARM","Gang Cikutra Barat No. 031, Sukabumi, SG 86421",+62-015-122-2206,Zakat Pertanian,931833.3420000001,2023-09-14
ADE HARYANTI,"Gang Jend. Sudirman No. 51, Kota Administrasi Jakarta Timur, JI 80994",(0981) 253-4239,Zakat Perdagangan,477135.19810000004,2024-05-16
"H. MAKUTA FIRMANSYAH, S.FARM","Jalan Abdul Muis No. 519, Gorontalo, NT 09497",+62 (0815) 732 9920,Zakat Penghasilan,1017723.2923000001,2023-09-26
MUHAMMAD NATSIR,"Jalan Rumah Sakit No. 1, Serang, Bali 11061",089 583 6491,Zakat Fitrah,990583.6457000002,2025-04-05
LURHUR PERMADI,"Jl. Ciumbuleuit No. 317, Bau-Bau, ST 84471",+62 (02) 535-0768,Zakat Fitrah,932310.0094000002,2023-09-22
DRG. KEMBA HABIBI,"Jalan K.H. Wahid Hasyim No. 6, Pekanbaru, DI Yogyakarta 19735",(0953) 902 9409,Zakat Mal,873786.0120000001,2024-12-01
GARANG LAKSMIWATI,"Gang R.E Martadinata No. 9, Bukittinggi, BB 63532",(024) 839-4689,Zakat Emas/Perak,363218.29610000004,2024-01-15
"DR. BETANIA GUNAWAN, S.GZ","Gg. Cikutra Timur No. 8, Langsa, SN 35532",+62 (33) 558-5918,Zakat Pertanian,767870.1019000001,2024-08-18
SUTAN HARJO KUSWOYO,"Gg. KH Amin Jasuta No. 44, Surakarta, Jambi 49523",+62 (153) 376-4416,Zakat Perdagangan,1049014.945,2024-12-01
"NADINE PRANOWO, S.SOS","Jl. BKR No. 3, Kota Administrasi Jakarta Barat, BB 43446",+62-083-549-0286,Zakat Pertanian,343669.2094000001,2023-10-25
ADIARJA HALIMAH,"Gang HOS. Cokroaminoto No. 86, Tidore Kepulauan, DKI Jakarta 15843",+62 (0678) 522-0385,Zakat Penghasilan,394615.9932000001,2023-06-04
FARAH SANTOSO,"Jalan Asia Afrika No. 28, Palopo, DKI Jakarta 43212",+62-33-731-8045,Zakat Fitrah,280092.7602,2023-12-14
HAMIMA RAHMAWATI,"Gang Raya Ujungberung No. 5, Depok, BT 72439",(0977) 585 9946,Zakat Perdagangan,211898.0556,2023-11-20
"DR. TINA SURYONO, S.SOS","Jalan Dipatiukur No. 03, Surabaya, KR 27287",+62 (277) 027 8494,Zakat Penghasilan,924490.4207000001,2024-11-05
"PUTI IKA NAPITUPULU, S.PT","Jl. Cempaka No. 3, Tanjungpinang, Kalimantan Tengah 56699",(092) 950 5498,Zakat Fitrah,419659.04860000004,2023-07-02
"PUTI ZALINDRA YUNIAR, S.SOS","Gang Laswi No. 7, Medan, Bengkulu 69747",(0292) 728 2796,Zakat Perdagangan,1036425.5000000001,2024-07-03
"R.A. ALMIRA WIDODO, M.AK","Gang Jend. A. Yani No. 24, Bekasi, KS 19648",+62 (042) 252 7079,Zakat Emas/Perak,138806.1785,2023-06-30
"HARTO KUSWANDARI, S.E.I","Jalan Stasiun Wonokromo No. 075, Malang, NT 43939",+62 (56) 411 3353,Zakat Perdagangan,817494.3194000002,2023-06-25
DR. PAULIN HASTUTI,"Jl. Cempaka No. 8, Jambi, Sulawesi Tenggara 12383",+62 (69) 946-4629,Zakat Perdagangan,1093179.9692,2023-12-08
"RAMA SAFITRI, S.T.","Gg. Monginsidi No. 9, Pekanbaru, Kalimantan Selatan 78173",(0460) 020-8865,Zakat Fitrah,802905.8334000001,2024-04-10
SALWA SAEFULLAH,"Gang Ahmad Yani No. 924, Kota Administrasi Jakarta Barat, Sulawesi Selatan 04800",+62-061-073-0051,Zakat Pertanian,716154.1090000002,2023-09-21
DRS. DARIMIN MUSTOFA,"Gg. Waringin No. 273, Blitar, SS 07576",(026) 502 0938,Zakat Pertanian,1075422.9288,2025-03-09
DRS. CAKRABUANA NAMAGA,"Gg. Cikutra Timur No. 590, Cilegon, KB 68173",+62-008-757-6541,Zakat Mal,1140829.0069000002,2025-03-26
CUT AZALEA PURWANTI,"Jalan M.T Haryono No. 296, Sungai Penuh, MU 21600",+62 (044) 616 7580,Zakat Fitrah,981833.3976000001,2023-11-10
"CLARA YOLANDA, S.IP","Jalan Dipatiukur No. 97, Kotamobagu, BT 55733",+62 (027) 055 7517,Zakat Fitrah,835134.0745000001,2025-01-30
BAKTI KUSUMO,"Gang Ahmad Dahlan No. 8, Banjarbaru, SN 11262",+62 (425) 013-0137,Zakat Pertanian,721488.0431000001,2023-06-06
GALAR USAMAH,"Jl. Kiaracondong No. 24, Kediri, SS 67880",0825716030,Zakat Mal,340975.6405000001,2025-01-14
"NADINE SIHOMBING, S.I.KOM","Gang Soekarno Hatta No. 2, Pasuruan, DKI Jakarta 74579",(073) 637-5450,Zakat Emas/Perak,1107599.9869000001,2023-10-28
HILDA HARYANTO,"Jl. Rajawali Timur No. 43, Kota Administrasi Jakarta Utara, Bengkulu 21711",(044) 136 4206,Zakat Mal,628784.8127000001,2023-09-27
SARAH UTAMI,"Gang Tebet Barat Dalam No. 155, Sungai Penuh, Jambi 02608",0802333853,Zakat Mal,47716.6767,2024-09-25
AZALEA PERMADI,"Jl. M.H Thamrin No. 0, Sibolga, Aceh 98230",(0065) 660-6888,Zakat Perdagangan,833000.0096000001,2023-09-04
TEGUH NAJMUDIN,"Gang Cempaka No. 6, Cimahi, SU 24373",+62 (0664) 090-3340,Zakat Fitrah,975031.1648000001,2024-12-21
TITI RIYANTI,"Gg. Cikutra Barat No. 2, Batam, Sulawesi Tenggara 91233",(0734) 140 3939,Zakat Fitrah,1145625.6768,2024-06-01
IR. CAGER SAFITRI,"Gang Kapten Muslihat No. 53, Meulaboh, Kalimantan Tengah 65525",(006) 079-5713,Zakat Perdagangan,1117141.0426000003,2024-10-03
LABUH MANGUNSONG,"Jl. Gardujati No. 21, Bandar Lampung, BA 28211",(0051) 079 0890,Zakat Emas/Perak,44098.0991,2023-08-13
R. GADING HAKIM,"Gg. Kutai No. 2, Depok, Sumatera Barat 17830",+62 (074) 458-4740,Zakat Perdagangan,538805.9820000001,2025-01-12
LIDYA PRATIWI,"Jl. W.R. Supratman No. 429, Kota Administrasi Jakarta Selatan, Kalimantan Selatan 70695",+62-068-902-8634,Zakat Perdagangan,268660.78910000005,2023-08-24
ZULFA KUSMAWATI,"Gang Suniaraja No. 0, Tanjungbalai, Banten 70924",(0637) 813-3419,Zakat Perdagangan,684535.9741,2024-06-08
SABRI NATSIR,"Gang Jend. A. Yani No. 7, Purwokerto, Sulawesi Selatan 08796",+62 (148) 004 0324,Zakat Pertanian,72758.51000000001,2024-02-14
ELLIS PRAYOGA,"Gang Abdul Muis No. 834, Tasikmalaya, JT 30726",(0222) 650-3533,Zakat Penghasilan,181075.64090000003,2024-10-19
ASMUNI WULANDARI,"Gg. PHH. Mustofa No. 40, Parepare, KR 29943",(0726) 778 7109,Zakat Fitrah,263760.08340000006,2024-01-28
BELLA LAZUARDI,"Gg. Ronggowarsito No. 2, Bima, PA 39839",+62 (99) 569 1983,Zakat Fitrah,862605.6241,2024-07-12
"NOVI WIBISONO, M.FARM","Gg. Kiaracondong No. 49, Ternate, KB 05645",+62 (81) 427-3693,Zakat Fitrah,743264.6672,2023-08-25
"IR. TALIA PRASETYA, M.KOM.","Gg. Cihampelas No. 75, Mojokerto, SG 90352",+62 (95) 488-0443,Zakat Fitrah,590671.0227000001,2024-10-26
"KASIRAN PURWANTI, S.FARM","Jl. HOS. Cokroaminoto No. 6, Surakarta, RI 99692",(080) 316-9827,Zakat Mal,1141668.8437,2024-06-26
TINA SIHOMBING,"Jl. Dr. Djunjunan No. 09, Parepare, PB 92890",+62-0546-996-7413,Zakat Penghasilan,311238.51110000006,2024-09-17
IR. LANJAR MARYADI,"Gg. BKR No. 6, Pekanbaru, SB 42100",+62 (836) 645-4949,Zakat Perdagangan,505679.9693000001,2023-09-24
"CICI LAILASARI, S.E.I","Gang Siliwangi No. 6, Mataram, KR 39384",+62 (633) 815 6964,Zakat Perdagangan,44210.94370000001,2024-11-03
"TGK. BALAPATI NASYIAH, S.FARM","Jl. Rajawali Timur No. 79, Palangkaraya, Gorontalo 85738",+62 (059) 116-2745,Zakat Perdagangan,290499.5104000001,2025-03-06
JAGAPATI NABABAN,"Gang Pelajar Pejuang No. 7, Lhokseumawe, Sulawesi Tengah 61482",+62 (0259) 753-4092,Zakat Penghasilan,161734.17810000002,2024-01-29
SAMSUL USAMAH,"Jalan Pasteur No. 67, Payakumbuh, Sumatera Utara 07817",+62 (297) 523 9805,Zakat Perdagangan,311383.85630000004,2023-05-31
"GASTI ARYANI, S.PSI","Jalan Setiabudhi No. 26, Palopo, Sumatera Barat 34769",+62 (96) 341-6345,Zakat Emas/Perak,270353.51860000007,2024-06-20
CLARA PRASASTA,"Jl. Medokan Ayu No. 2, Jayapura, Kalimantan Selatan 76127",(079) 800 4751,Zakat Perdagangan,701243.9323999999,2024-01-29
"H. KENES PRAYOGA, S.I.KOM","Jl. PHH. Mustofa No. 56, Surakarta, GO 86846",+62 (966) 029-5856,Zakat Fitrah,1063012.5154000001,2023-06-12
DAMAR SIREGAR,"Jl. Jayawijaya No. 71, Surabaya, NT 07468",+62 (0726) 399 7600,Zakat Pertanian,812608.7508,2024-12-28
GARANG YULIARTI,"Gg. Dipenogoro No. 7, Sorong, Maluku 46191",087 497 4221,Zakat Perdagangan,663843.8609000002,2024-03-16
JAMIL SARAGIH,"Jalan Ronggowarsito No. 0, Pematangsiantar, Jawa Barat 89285",(032) 429 5544,Zakat Mal,37067.285200000006,2024-09-25
IR. HARSAYA SIREGAR,"Gang Sentot Alibasa No. 78, Banda Aceh, BT 27722",+62-62-828-9124,Zakat Pertanian,1192613.8125,2023-05-29
FEBI ASTUTI,"Jalan Kebonjati No. 58, Bontang, Riau 60874",089 609 0065,Zakat Penghasilan,815407.6381000002,2024-07-29
DR. RIDWAN PURWANTI,"Gang Cikutra Barat No. 760, Sawahlunto, NT 31045",+62-951-342-4619,Zakat Pertanian,546408.8718000002,2023-07-08
ZAENAB LAKSMIWATI,"Gang Suniaraja No. 080, Pasuruan, Nusa Tenggara Timur 29907",+62 (81) 836 4559,Zakat Fitrah,792250.2346000001,2024-08-02
ULYA RAHMAWATI,"Gg. W.R. Supratman No. 093, Probolinggo, AC 98274",+62 (067) 939 6124,Zakat Emas/Perak,283251.44100000005,2025-05-06
"DR. DARYANI LESTARI, M.AK","Gang HOS. Cokroaminoto No. 077, Banjarbaru, DI Yogyakarta 03818",+62-002-690-1413,Zakat Perdagangan,757983.5065000001,2023-11-09
DRS. KEZIA PUTRA,"Gang Lembong No. 59, Serang, Sulawesi Utara 89575",(050) 485 8766,Zakat Emas/Perak,590477.5679,2025-04-29
WAGE MUSTOFA,"Gg. Siliwangi No. 0, Kota Administrasi Jakarta Pusat, BA 80904",+62 (25) 977-6746,Zakat Fitrah,780807.071,2023-10-10
"DRS. ZALINDRA NASYIAH, M.TI.","Gang Gegerkalong Hilir No. 77, Bitung, JK 19339",+62 (0620) 089 2578,Zakat Perdagangan,975604.5838000003,2023-10-07
"TGK. BELLA SIHOTANG, S.PD","Gg. Ir. H. Djuanda No. 0, Banjarbaru, MU 90219",+62 (024) 783 7483,Zakat Perdagangan,1083227.6829000001,2024-02-18
SUTAN JARWI WIBISONO,"Gang Monginsidi No. 31, Ambon, KB 11306",+62-311-220-8200,Zakat Fitrah,922505.2100000002,2023-11-13
NADINE WIDODO,"Jalan Erlangga No. 211, Tanjungbalai, Kalimantan Timur 46230",+62 (680) 835 8063,Zakat Emas/Perak,430699.4637,2024-11-06
KASIRAN NASHIRUDDIN,"Jl. S. Parman No. 0, Ambon, Papua 00819",(0026) 334 4719,Zakat Penghasilan,715914.5895,2024-11-11
UDA WASTUTI,"Gang Lembong No. 58, Purwokerto, Kalimantan Barat 84285",+62 (032) 071-3304,Zakat Perdagangan,956115.8277000001,2025-03-18
"ZAMIRA MANDALA, S.KOM","Jl. Surapati No. 6, Binjai, Kalimantan Barat 46079",(0168) 837-1355,Zakat Mal,815034.0748000002,2025-01-19
"ZULFA KUSWOYO, S.KED","Gang Raya Ujungberung No. 807, Pagaralam, Nusa Tenggara Barat 92192",+62-034-289-4841,Zakat Penghasilan,1148610.8678000001,2023-05-07
"FEBI SIHOMBING, S.E.","Jalan Jakarta No. 922, Blitar, Kalimantan Utara 44815",(0665) 739 8657,Zakat Mal,985595.9289,2023-09-12
CANDRAKANTA MAHESWARA,"Gang Cihampelas No. 5, Singkawang, Nusa Tenggara Timur 22720",+62 (740) 113 0233,Zakat Pertanian,180587.91410000002,2024-04-27
DRS. FATHONAH ANDRIANI,"Gg. Pasir Koja No. 561, Kota Administrasi Jakarta Timur, Jambi 71010",+62-01-785-5757,Zakat Perdagangan,1116398.5987000002,2024-08-30
SHAKILA SIHOMBING,"Jalan Merdeka No. 38, Surabaya, Sulawesi Tengah 75775",(044) 266-4730,Zakat Pertanian,508296.90890000015,2023-05-16
DRG. BALA WALUYO,"Gg. K.H. Wahid Hasyim No. 1, Kota Administrasi Jakarta Utara, BE 33844",+62 (006) 396-5723,Zakat Mal,876268.7747000001,2024-12-06
"KH. CANDRA RAJATA, M.KOM.","Jl. Rajawali Barat No. 2, Bukittinggi, Maluku Utara 23244",(0628) 276-0580,Zakat Emas/Perak,335666.34200000006,2024-08-25
IRMA SAMOSIR,"Gang Joyoboyo No. 16, Batam, Maluku Utara 98565",+62 (695) 062 0308,Zakat Mal,1054667.9319,2025-04-10
IR. AMALIA HIDAYANTO,"Jl. Pacuan Kuda No. 562, Sungai Penuh, MU 24109",(048) 401 1556,Zakat Perdagangan,1058960.6973,2024-12-06
CARLA KUSMAWATI,"Gg. KH Amin Jasuta No. 9, Banjarmasin, SB 36989",+62 (50) 869 9458,Zakat Fitrah,109506.1616,2024-01-20
ASMIANTO HABIBI,"Gg. Suryakencana No. 864, Pekalongan, LA 71736",+62 (430) 975 3369,Zakat Penghasilan,794243.5644000001,2024-01-20
R.A. CINTA ARDIANTO,"Gg. Ciumbuleuit No. 83, Pontianak, KI 98974",+62-0870-983-0441,Zakat Mal,402906.09040000004,2025-05-03
KARNA THAMRIN,"Jalan Wonoayu No. 25, Palu, Maluku Utara 32563",+62 (092) 050-2010,Zakat Fitrah,46215.4539,2023-09-06
IR. RADEN NARPATI,"Jalan R.E Martadinata No. 4, Sawahlunto, Jawa Tengah 91735",+62 (0180) 157 7532,Zakat Mal,544837.6868000001,2023-12-24
DIAH GUNARTO,"Jalan Raya Setiabudhi No. 305, Bontang, JK 69163",+62 (85) 109 1596,Zakat Mal,612073.8778000001,2024-03-29
"ZULAIKHA ISWAHYUDI, M.PD","Jl. Rawamangun No. 97, Pekalongan, PB 36073",0890520485,Zakat Pertanian,1184383.7192000002,2025-04-06
DARIATI UTAMI,"Gang Rajiman No. 97, Probolinggo, Kepulauan Bangka Belitung 75012",+62-0376-414-9955,Zakat Emas/Perak,837347.2371000001,2024-01-27
"TINA FUJIATI, S.FARM","Jalan Astana Anyar No. 7, Bogor, Nusa Tenggara Timur 56425",+62 (06) 426-4507,Zakat Fitrah,705406.4897,2024-05-13
R. MUNI HARIYAH,"Jl. Pacuan Kuda No. 390, Cilegon, JK 22956",+62-191-590-6564,Zakat Perdagangan,1107524.3498,2024-11-16
"HAMIMA SIREGAR, S.FARM","Gang Ronggowarsito No. 632, Pangkalpinang, Maluku Utara 97580",+62-224-060-2893,Zakat Fitrah,445718.06840000005,2024-03-23
GHANI HARTATI,"Gg. Astana Anyar No. 648, Banda Aceh, Sulawesi Selatan 09458",+62 (0668) 641-1199,Zakat Perdagangan,513122.28000000014,2023-12-24
"ASIRWADA RAJATA, M.FARM","Jl. Pasteur No. 7, Pariaman, NB 57386",088 034 7167,Zakat Mal,1153719.7298,2024-06-18
DARIMIN SIHOMBING,"Gg. Veteran No. 75, Tangerang Selatan, YO 17737",(0106) 700 4669,Zakat Mal,174405.56430000003,2024-03-03
HILDA RAHIMAH,"Gg. Raya Ujungberung No. 758, Metro, AC 14918",+62 (421) 258 4242,Zakat Emas/Perak,734936.5397000001,2025-03-21
"DRG. GILDA HASSANAH, S.PD","Jalan Kutai No. 671, Bima, SU 32584",+62 (016) 713-7433,Zakat Mal,932856.4454000001,2024-10-26
GANEP PADMASARI,"Gang Jend. A. Yani No. 98, Ternate, Sulawesi Selatan 28666",085 382 8970,Zakat Mal,461158.2371000001,2025-03-01
DRG. BANAWA AGUSTINA,"Jl. Ciumbuleuit No. 23, Tasikmalaya, Papua 18159",+62 (323) 984-9874,Zakat Fitrah,959367.6664000001,2025-04-29
LAMAR BUDIYANTO,"Jalan Yos Sudarso No. 8, Cirebon, SU 33459",+62 (26) 257 5001,Zakat Emas/Perak,1149301.0276000001,2025-03-19
"R. SYAHRINI NATSIR, S.FARM","Gg. Indragiri No. 3, Bandar Lampung, SG 14796",(0516) 750-3270,Zakat Pertanian,354130.09500000003,2024-01-17
"CUT ELLA THAMRIN, S.T.","Gang Ronggowarsito No. 4, Sukabumi, Kalimantan Utara 31871",+62 (328) 874 4150,Zakat Penghasilan,200902.89450000002,2024-05-28
"DR. PARIS WASTUTI, M.PD","Jalan Tebet Barat Dalam No. 200, Palopo, Papua Barat 57238",(0240) 545 1238,Zakat Mal,447702.62570000003,2024-09-18
"DRS. SAMIAH PUTRA, S.SOS","Gg. Sukajadi No. 9, Pontianak, SU 31943",0838114009,Zakat Penghasilan,1028508.7846000001,2024-03-19
"TGK. JATMIKO MEGANTARA, M.KOM.","Jl. Wonoayu No. 38, Bandung, Kalimantan Barat 74724",+62 (0893) 642-3295,Zakat Penghasilan,1016959.7339000001,2024-05-29
EMPLUK UTAMI,"Gg. Waringin No. 267, Tebingtinggi, Papua Barat 66270",088 993 3452,Zakat Fitrah,235065.85300000003,2024-11-19
"R. PERKASA OKTAVIANI, S.SOS","Jl. Sukajadi No. 74, Bengkulu, JK 40579",+62 (0828) 472 1599,Zakat Fitrah,453369.44290000014,2024-02-27
"MURSITA RAJATA, M.FARM","Jl. Wonoayu No. 4, Blitar, Kalimantan Utara 01705",(075) 569-5193,Zakat Fitrah,262282.7097,2024-06-07
"GAWATI RAHIMAH, S.IP","Gang M.H Thamrin No. 917, Bandung, SS 93249",+62 (757) 190-6748,Zakat Pertanian,1126704.6648000001,2025-05-02
PUTI IRA SARAGIH,"Gang Jend. Sudirman No. 6, Manado, SG 88302",+62 (47) 326 0930,Zakat Emas/Perak,268924.73850000004,2025-01-12
KANI THAMRIN,"Gg. S. Parman No. 8, Sabang, DKI Jakarta 89802",(0562) 127 9611,Zakat Emas/Perak,816290.5993000001,2025-04-15
"T. JAIS HUTAGALUNG, S.I.KOM","Jl. Dipatiukur No. 872, Tarakan, MA 08277",(061) 252 4082,Zakat Penghasilan,855670.5938000001,2024-02-26
AMI MELANI,"Jl. Rumah Sakit No. 70, Sorong, SR 98029",088 215 1103,Zakat Mal,681479.8287000001,2023-07-31
HANA SIREGAR,"Jl. Wonoayu No. 816, Jayapura, MU 35583",+62-044-040-7946,Zakat Penghasilan,254358.91580000005,2024-09-19
MALA MARDHIYAH,"Gg. Cempaka No. 4, Padang, Jawa Barat 43516",+62-64-535-8045,Zakat Perdagangan,1168879.7230000002,2023-11-27
RAHMAT MAHENDRA,"Gang Tubagus Ismail No. 94, Palembang, Riau 73575",(0794) 271 8374,Zakat Pertanian,779845.4356000001,2024-04-15
CAWISONO MEGANTARA,"Jl. Jamika No. 95, Tidore Kepulauan, MA 77655",(075) 864 9429,Zakat Pertanian,903314.2228000002,2024-05-12
DR. CHANDRA HARYANTO,"Gang Gardujati No. 285, Bau-Bau, MU 23266",+62 (0760) 273-9984,Zakat Penghasilan,181486.59320000006,2024-03-30
WARSA ANDRIANI,"Jl. Abdul Muis No. 494, Palangkaraya, Nusa Tenggara Barat 63443",+62 (011) 766-3267,Zakat Pertanian,914885.1987000001,2024-05-18
HASNA PURNAWATI,"Gang Ciumbuleuit No. 196, Yogyakarta, Sulawesi Selatan 75723",+62 (050) 564-9055,Zakat Pertanian,1139622.5280000002,2024-07-20
KAMAL WIDIASTUTI,"Jl. Jamika No. 6, Pangkalpinang, Bengkulu 86514",+62-06-533-8781,Zakat Emas/Perak,601805.7573,2024-07-30
ELLA LAZUARDI,"Jl. Cikapayang No. 7, Pontianak, Aceh 81105",(0244) 932-0225,Zakat Penghasilan,280725.72330000007,2025-03-21
"DRG. CAHYADI PRABOWO, S.H.","Gang Ahmad Yani No. 11, Tegal, Kalimantan Barat 06807",+62 (02) 832 2288,Zakat Pertanian,1194450.6409000002,2024-05-01
"PRANATA TARIHORAN, M.FARM","Gang Sukabumi No. 89, Magelang, Sumatera Barat 58832",+62 (76) 933 1431,Zakat Mal,396568.8243000001,2025-01-10
MILA HASTUTI,"Gg. Sentot Alibasa No. 0, Kota Administrasi Jakarta Utara, ST 54322",081 923 3205,Zakat Emas/Perak,204291.74150000003,2025-02-26
JINDRA JAILANI,"Gg. Kebonjati No. 0, Palu, ST 21635",+62 (0558) 235-8884,Zakat Perdagangan,583663.6828000001,2024-11-23
"CUT JULI MAHENDRA, S.H.","Gg. Indragiri No. 8, Banda Aceh, KI 24944",+62 (090) 149 8607,Zakat Pertanian,216398.2876,2025-02-12
CAKRABUANA LATUPONO,"Jalan Yos Sudarso No. 05, Tidore Kepulauan, DKI Jakarta 02150",+62 (42) 301-9025,Zakat Emas/Perak,1183281.0341,2024-05-29
KANI SIHOMBING,"Gg. S. Parman No. 194, Tual, Kalimantan Selatan 83311",+62 (317) 439 5664,Zakat Perdagangan,32216.153200000004,2024-01-05
MALIKA HARYANTO,"Jalan Raya Setiabudhi No. 1, Tasikmalaya, SR 11134",(088) 030 6839,Zakat Mal,608387.153,2024-11-08
PAULIN HUTAPEA,"Jalan Kebonjati No. 57, Banda Aceh, Bali 33116",(074) 376-1294,Zakat Fitrah,1207284.0219,2024-10-16
"DRG. ARGONO UTAMA, S.IP","Gang Veteran No. 71, Balikpapan, GO 24325",+62-0460-187-7932,Zakat Emas/Perak,177570.9727,2024-10-23
IFA ANGGRAINI,"Jl. Peta No. 46, Bandar Lampung, PB 38342",+62 (604) 578 1672,Zakat Fitrah,972525.0007000002,2023-09-05
PUSPA UWAIS,"Jl. Monginsidi No. 0, Solok, Nusa Tenggara Timur 93248",+62 (0403) 832-8509,Zakat Mal,660713.3852,2025-01-31
"DRG. SAFINA YULIARTI, M.M.","Jalan Gardujati No. 5, Magelang, Sulawesi Barat 44961",+62 (35) 452 3241,Zakat Mal,293984.84280000004,2024-11-13
DR. RAIHAN PRASETYO,"Gang S. Parman No. 05, Surakarta, SN 16048",+62 (029) 994 3122,Zakat Penghasilan,304766.97130000003,2024-06-12
"DRS. TANIA LAKSITA, M.KOM.","Gg. Kutisari Selatan No. 04, Pekanbaru, Sulawesi Tengah 38918",(064) 329-8484,Zakat Pertanian,258003.79880000002,2024-09-25
